"DateTime","Uncles"
"2015-07-30 00:00:00",1299
"2015-07-31 00:00:00",511
"2015-08-01 00:00:00",335
"2015-08-02 00:00:00",393
"2015-08-03 00:00:00",443
"2015-08-04 00:00:00",458
"2015-08-05 00:00:00",371
"2015-08-06 00:00:00",411
"2015-08-07 00:00:00",409
"2015-08-08 00:00:00",458
"2015-08-09 00:00:00",421
"2015-08-10 00:00:00",415
"2015-08-11 00:00:00",438
"2015-08-12 00:00:00",474
"2015-08-13 00:00:00",504
"2015-08-14 00:00:00",555
"2015-08-15 00:00:00",441
"2015-08-16 00:00:00",385
"2015-08-17 00:00:00",377
"2015-08-18 00:00:00",390
"2015-08-19 00:00:00",361
"2015-08-20 00:00:00",257
"2015-08-21 00:00:00",338
"2015-08-22 00:00:00",323
"2015-08-23 00:00:00",320
"2015-08-24 00:00:00",377
"2015-08-25 00:00:00",335
"2015-08-26 00:00:00",303
"2015-08-27 00:00:00",266
"2015-08-28 00:00:00",257
"2015-08-29 00:00:00",232
"2015-08-30 00:00:00",179
"2015-08-31 00:00:00",182
"2015-09-01 00:00:00",172
"2015-09-02 00:00:00",134
"2015-09-03 00:00:00",126
"2015-09-04 00:00:00",232
"2015-09-05 00:00:00",274
"2015-09-06 00:00:00",345
"2015-09-07 00:00:00",343
"2015-09-08 00:00:00",349
"2015-09-09 00:00:00",344
"2015-09-10 00:00:00",383
"2015-09-11 00:00:00",412
"2015-09-12 00:00:00",338
"2015-09-13 00:00:00",353
"2015-09-14 00:00:00",360
"2015-09-15 00:00:00",378
"2015-09-16 00:00:00",412
"2015-09-17 00:00:00",372
"2015-09-18 00:00:00",405
"2015-09-19 00:00:00",488
"2015-09-20 00:00:00",389
"2015-09-21 00:00:00",340
"2015-09-22 00:00:00",298
"2015-09-23 00:00:00",334
"2015-09-24 00:00:00",341
"2015-09-25 00:00:00",366
"2015-09-26 00:00:00",338
"2015-09-27 00:00:00",307
"2015-09-28 00:00:00",275
"2015-09-29 00:00:00",315
"2015-09-30 00:00:00",355
"2015-10-01 00:00:00",373
"2015-10-02 00:00:00",324
"2015-10-03 00:00:00",292
"2015-10-04 00:00:00",281
"2015-10-05 00:00:00",292
"2015-10-06 00:00:00",266
"2015-10-07 00:00:00",295
"2015-10-08 00:00:00",271
"2015-10-09 00:00:00",244
"2015-10-10 00:00:00",270
"2015-10-11 00:00:00",302
"2015-10-12 00:00:00",283
"2015-10-13 00:00:00",301
"2015-10-14 00:00:00",320
"2015-10-15 00:00:00",263
"2015-10-16 00:00:00",273
"2015-10-17 00:00:00",312
"2015-10-18 00:00:00",297
"2015-10-19 00:00:00",291
"2015-10-20 00:00:00",332
"2015-10-21 00:00:00",289
"2015-10-22 00:00:00",305
"2015-10-23 00:00:00",332
"2015-10-24 00:00:00",335
"2015-10-25 00:00:00",351
"2015-10-26 00:00:00",367
"2015-10-27 00:00:00",375
"2015-10-28 00:00:00",399
"2015-10-29 00:00:00",452
"2015-10-30 00:00:00",410
"2015-10-31 00:00:00",553
"2015-11-01 00:00:00",625
"2015-11-02 00:00:00",531
"2015-11-03 00:00:00",573
"2015-11-04 00:00:00",549
"2015-11-05 00:00:00",473
"2015-11-06 00:00:00",450
"2015-11-07 00:00:00",550
"2015-11-08 00:00:00",570
"2015-11-09 00:00:00",509
"2015-11-10 00:00:00",574
"2015-11-11 00:00:00",704
"2015-11-12 00:00:00",691
"2015-11-13 00:00:00",681
"2015-11-14 00:00:00",713
"2015-11-15 00:00:00",561
"2015-11-16 00:00:00",577
"2015-11-17 00:00:00",515
"2015-11-18 00:00:00",489
"2015-11-19 00:00:00",446
"2015-11-20 00:00:00",403
"2015-11-21 00:00:00",422
"2015-11-22 00:00:00",459
"2015-11-23 00:00:00",483
"2015-11-24 00:00:00",484
"2015-11-25 00:00:00",464
"2015-11-26 00:00:00",486
"2015-11-27 00:00:00",528
"2015-11-28 00:00:00",573
"2015-11-29 00:00:00",549
"2015-11-30 00:00:00",515
"2015-12-01 00:00:00",566
"2015-12-02 00:00:00",501
"2015-12-03 00:00:00",537
"2015-12-04 00:00:00",432
"2015-12-05 00:00:00",412
"2015-12-06 00:00:00",453
"2015-12-07 00:00:00",493
"2015-12-08 00:00:00",464
"2015-12-09 00:00:00",602
"2015-12-10 00:00:00",467
"2015-12-11 00:00:00",454
"2015-12-12 00:00:00",486
"2015-12-13 00:00:00",399
"2015-12-14 00:00:00",455
"2015-12-15 00:00:00",445
"2015-12-16 00:00:00",407
"2015-12-17 00:00:00",420
"2015-12-18 00:00:00",414
"2015-12-19 00:00:00",401
"2015-12-20 00:00:00",447
"2015-12-21 00:00:00",418
"2015-12-22 00:00:00",456
"2015-12-23 00:00:00",488
"2015-12-24 00:00:00",422
"2015-12-25 00:00:00",371
"2015-12-26 00:00:00",405
"2015-12-27 00:00:00",468
"2015-12-28 00:00:00",439
"2015-12-29 00:00:00",463
"2015-12-30 00:00:00",420
"2015-12-31 00:00:00",450
"2016-01-01 00:00:00",433
"2016-01-02 00:00:00",505
"2016-01-03 00:00:00",529
"2016-01-04 00:00:00",516
"2016-01-05 00:00:00",583
"2016-01-06 00:00:00",575
"2016-01-07 00:00:00",558
"2016-01-08 00:00:00",555
"2016-01-09 00:00:00",553
"2016-01-10 00:00:00",483
"2016-01-11 00:00:00",389
"2016-01-12 00:00:00",329
"2016-01-13 00:00:00",402
"2016-01-14 00:00:00",387
"2016-01-15 00:00:00",363
"2016-01-16 00:00:00",344
"2016-01-17 00:00:00",379
"2016-01-18 00:00:00",333
"2016-01-19 00:00:00",326
"2016-01-20 00:00:00",360
"2016-01-21 00:00:00",295
"2016-01-22 00:00:00",324
"2016-01-23 00:00:00",302
"2016-01-24 00:00:00",380
"2016-01-25 00:00:00",344
"2016-01-26 00:00:00",328
"2016-01-27 00:00:00",316
"2016-01-28 00:00:00",335
"2016-01-29 00:00:00",338
"2016-01-30 00:00:00",296
"2016-01-31 00:00:00",352
"2016-02-01 00:00:00",360
"2016-02-02 00:00:00",295
"2016-02-03 00:00:00",346
"2016-02-04 00:00:00",335
"2016-02-05 00:00:00",355
"2016-02-06 00:00:00",377
"2016-02-07 00:00:00",334
"2016-02-08 00:00:00",345
"2016-02-09 00:00:00",318
"2016-02-10 00:00:00",360
"2016-02-11 00:00:00",366
"2016-02-12 00:00:00",358
"2016-02-13 00:00:00",377
"2016-02-14 00:00:00",370
"2016-02-15 00:00:00",358
"2016-02-16 00:00:00",349
"2016-02-17 00:00:00",373
"2016-02-18 00:00:00",327
"2016-02-19 00:00:00",395
"2016-02-20 00:00:00",345
"2016-02-21 00:00:00",338
"2016-02-22 00:00:00",330
"2016-02-23 00:00:00",356
"2016-02-24 00:00:00",340
"2016-02-25 00:00:00",320
"2016-02-26 00:00:00",366
"2016-02-27 00:00:00",328
"2016-02-28 00:00:00",340
"2016-02-29 00:00:00",305
"2016-03-01 00:00:00",331
"2016-03-02 00:00:00",327
"2016-03-03 00:00:00",288
"2016-03-04 00:00:00",267
"2016-03-05 00:00:00",265
"2016-03-06 00:00:00",258
"2016-03-07 00:00:00",247
"2016-03-08 00:00:00",220
"2016-03-09 00:00:00",238
"2016-03-10 00:00:00",199
"2016-03-11 00:00:00",264
"2016-03-12 00:00:00",321
"2016-03-13 00:00:00",351
"2016-03-14 00:00:00",259
"2016-03-15 00:00:00",391
"2016-03-16 00:00:00",401
"2016-03-17 00:00:00",477
"2016-03-18 00:00:00",435
"2016-03-19 00:00:00",494
"2016-03-20 00:00:00",429
"2016-03-21 00:00:00",414
"2016-03-22 00:00:00",404
"2016-03-23 00:00:00",422
"2016-03-24 00:00:00",467
"2016-03-25 00:00:00",451
"2016-03-26 00:00:00",444
"2016-03-27 00:00:00",409
"2016-03-28 00:00:00",384
"2016-03-29 00:00:00",402
"2016-03-30 00:00:00",435
"2016-03-31 00:00:00",377
"2016-04-01 00:00:00",430
"2016-04-02 00:00:00",408
"2016-04-03 00:00:00",458
"2016-04-04 00:00:00",448
"2016-04-05 00:00:00",415
"2016-04-06 00:00:00",373
"2016-04-07 00:00:00",403
"2016-04-08 00:00:00",420
"2016-04-09 00:00:00",375
"2016-04-10 00:00:00",433
"2016-04-11 00:00:00",369
"2016-04-12 00:00:00",377
"2016-04-13 00:00:00",415
"2016-04-14 00:00:00",379
"2016-04-15 00:00:00",418
"2016-04-16 00:00:00",416
"2016-04-17 00:00:00",413
"2016-04-18 00:00:00",456
"2016-04-19 00:00:00",430
"2016-04-20 00:00:00",453
"2016-04-21 00:00:00",417
"2016-04-22 00:00:00",415
"2016-04-23 00:00:00",427
"2016-04-24 00:00:00",461
"2016-04-25 00:00:00",468
"2016-04-26 00:00:00",434
"2016-04-27 00:00:00",452
"2016-04-28 00:00:00",440
"2016-04-29 00:00:00",439
"2016-04-30 00:00:00",455
"2016-05-01 00:00:00",371
"2016-05-02 00:00:00",438
"2016-05-03 00:00:00",447
"2016-05-04 00:00:00",444
"2016-05-05 00:00:00",465
"2016-05-06 00:00:00",464
"2016-05-07 00:00:00",468
"2016-05-08 00:00:00",459
"2016-05-09 00:00:00",445
"2016-05-10 00:00:00",470
"2016-05-11 00:00:00",476
"2016-05-12 00:00:00",493
"2016-05-13 00:00:00",539
"2016-05-14 00:00:00",534
"2016-05-15 00:00:00",476
"2016-05-16 00:00:00",469
"2016-05-17 00:00:00",510
"2016-05-18 00:00:00",532
"2016-05-19 00:00:00",459
"2016-05-20 00:00:00",478
"2016-05-21 00:00:00",486
"2016-05-22 00:00:00",459
"2016-05-23 00:00:00",516
"2016-05-24 00:00:00",501
"2016-05-25 00:00:00",557
"2016-05-26 00:00:00",492
"2016-05-27 00:00:00",527
"2016-05-28 00:00:00",563
"2016-05-29 00:00:00",488
"2016-05-30 00:00:00",497
"2016-05-31 00:00:00",460
"2016-06-01 00:00:00",482
"2016-06-02 00:00:00",454
"2016-06-03 00:00:00",526
"2016-06-04 00:00:00",506
"2016-06-05 00:00:00",440
"2016-06-06 00:00:00",460
"2016-06-07 00:00:00",490
"2016-06-08 00:00:00",463
"2016-06-09 00:00:00",438
"2016-06-10 00:00:00",411
"2016-06-11 00:00:00",448
"2016-06-12 00:00:00",467
"2016-06-13 00:00:00",447
"2016-06-14 00:00:00",491
"2016-06-15 00:00:00",453
"2016-06-16 00:00:00",449
"2016-06-17 00:00:00",1054
"2016-06-18 00:00:00",1229
"2016-06-19 00:00:00",515
"2016-06-20 00:00:00",491
"2016-06-21 00:00:00",490
"2016-06-22 00:00:00",492
"2016-06-23 00:00:00",452
"2016-06-24 00:00:00",484
"2016-06-25 00:00:00",422
"2016-06-26 00:00:00",506
"2016-06-27 00:00:00",455
"2016-06-28 00:00:00",457
"2016-06-29 00:00:00",480
"2016-06-30 00:00:00",516
"2016-07-01 00:00:00",496
"2016-07-02 00:00:00",478
"2016-07-03 00:00:00",454
"2016-07-04 00:00:00",451
"2016-07-05 00:00:00",461
"2016-07-06 00:00:00",479
"2016-07-07 00:00:00",434
"2016-07-08 00:00:00",493
"2016-07-09 00:00:00",548
"2016-07-10 00:00:00",435
"2016-07-11 00:00:00",466
"2016-07-12 00:00:00",436
"2016-07-13 00:00:00",435
"2016-07-14 00:00:00",456
"2016-07-15 00:00:00",490
"2016-07-16 00:00:00",448
"2016-07-17 00:00:00",414
"2016-07-18 00:00:00",496
"2016-07-19 00:00:00",489
"2016-07-20 00:00:00",544
"2016-07-21 00:00:00",499
"2016-07-22 00:00:00",472
"2016-07-23 00:00:00",473
"2016-07-24 00:00:00",443
"2016-07-25 00:00:00",450
"2016-07-26 00:00:00",426
"2016-07-27 00:00:00",508
"2016-07-28 00:00:00",483
"2016-07-29 00:00:00",504
"2016-07-30 00:00:00",431
"2016-07-31 00:00:00",505
"2016-08-01 00:00:00",440
"2016-08-02 00:00:00",461
"2016-08-03 00:00:00",438
"2016-08-04 00:00:00",465
"2016-08-05 00:00:00",469
"2016-08-06 00:00:00",420
"2016-08-07 00:00:00",466
"2016-08-08 00:00:00",462
"2016-08-09 00:00:00",497
"2016-08-10 00:00:00",467
"2016-08-11 00:00:00",457
"2016-08-12 00:00:00",503
"2016-08-13 00:00:00",453
"2016-08-14 00:00:00",442
"2016-08-15 00:00:00",460
"2016-08-16 00:00:00",434
"2016-08-17 00:00:00",481
"2016-08-18 00:00:00",570
"2016-08-19 00:00:00",441
"2016-08-20 00:00:00",494
"2016-08-21 00:00:00",569
"2016-08-22 00:00:00",479
"2016-08-23 00:00:00",528
"2016-08-24 00:00:00",502
"2016-08-25 00:00:00",420
"2016-08-26 00:00:00",461
"2016-08-27 00:00:00",485
"2016-08-28 00:00:00",464
"2016-08-29 00:00:00",464
"2016-08-30 00:00:00",440
"2016-08-31 00:00:00",448
"2016-09-01 00:00:00",454
"2016-09-02 00:00:00",490
"2016-09-03 00:00:00",438
"2016-09-04 00:00:00",439
"2016-09-05 00:00:00",457
"2016-09-06 00:00:00",429
"2016-09-07 00:00:00",422
"2016-09-08 00:00:00",463
"2016-09-09 00:00:00",464
"2016-09-10 00:00:00",460
"2016-09-11 00:00:00",479
"2016-09-12 00:00:00",485
"2016-09-13 00:00:00",471
"2016-09-14 00:00:00",520
"2016-09-15 00:00:00",514
"2016-09-16 00:00:00",482
"2016-09-17 00:00:00",492
"2016-09-18 00:00:00",429
"2016-09-19 00:00:00",672
"2016-09-20 00:00:00",476
"2016-09-21 00:00:00",500
"2016-09-22 00:00:00",848
"2016-09-23 00:00:00",869
"2016-09-24 00:00:00",1103
"2016-09-25 00:00:00",862
"2016-09-26 00:00:00",878
"2016-09-27 00:00:00",1435
"2016-09-28 00:00:00",522
"2016-09-29 00:00:00",462
"2016-09-30 00:00:00",433
"2016-10-01 00:00:00",1507
"2016-10-02 00:00:00",1448
"2016-10-03 00:00:00",659
"2016-10-04 00:00:00",532
"2016-10-05 00:00:00",1234
"2016-10-06 00:00:00",902
"2016-10-07 00:00:00",2038
"2016-10-08 00:00:00",1394
"2016-10-09 00:00:00",880
"2016-10-10 00:00:00",814
"2016-10-11 00:00:00",633
"2016-10-12 00:00:00",969
"2016-10-13 00:00:00",1208
"2016-10-14 00:00:00",708
"2016-10-15 00:00:00",582
"2016-10-16 00:00:00",746
"2016-10-17 00:00:00",719
"2016-10-18 00:00:00",757
"2016-10-19 00:00:00",1180
"2016-10-20 00:00:00",840
"2016-10-21 00:00:00",464
"2016-10-22 00:00:00",425
"2016-10-23 00:00:00",388
"2016-10-24 00:00:00",488
"2016-10-25 00:00:00",425
"2016-10-26 00:00:00",416
"2016-10-27 00:00:00",384
"2016-10-28 00:00:00",382
"2016-10-29 00:00:00",362
"2016-10-30 00:00:00",466
"2016-10-31 00:00:00",436
"2016-11-01 00:00:00",362
"2016-11-02 00:00:00",381
"2016-11-03 00:00:00",410
"2016-11-04 00:00:00",391
"2016-11-05 00:00:00",405
"2016-11-06 00:00:00",421
"2016-11-07 00:00:00",470
"2016-11-08 00:00:00",426
"2016-11-09 00:00:00",383
"2016-11-10 00:00:00",385
"2016-11-11 00:00:00",384
"2016-11-12 00:00:00",424
"2016-11-13 00:00:00",395
"2016-11-14 00:00:00",431
"2016-11-15 00:00:00",393
"2016-11-16 00:00:00",377
"2016-11-17 00:00:00",415
"2016-11-18 00:00:00",465
"2016-11-19 00:00:00",431
"2016-11-20 00:00:00",426
"2016-11-21 00:00:00",397
"2016-11-22 00:00:00",424
"2016-11-23 00:00:00",917
"2016-11-24 00:00:00",792
"2016-11-25 00:00:00",832
"2016-11-26 00:00:00",778
"2016-11-27 00:00:00",1108
"2016-11-28 00:00:00",1039
"2016-11-29 00:00:00",841
"2016-11-30 00:00:00",436
"2016-12-01 00:00:00",417
"2016-12-02 00:00:00",401
"2016-12-03 00:00:00",373
"2016-12-04 00:00:00",356
"2016-12-05 00:00:00",347
"2016-12-06 00:00:00",423
