"DateTime","Total Daily Fee Mining Reward [Ether]"
"2016-12-13 00:00:00",31
"2016-12-14 00:00:00",35
"2016-12-15 00:00:00",34
"2016-12-16 00:00:00",31
"2016-12-17 00:00:00",33
"2016-12-18 00:00:00",28
"2016-12-19 00:00:00",36
"2016-12-20 00:00:00",44
"2016-12-21 00:00:00",55
"2016-12-22 00:00:00",39
"2016-12-23 00:00:00",30
"2016-12-24 00:00:00",26
"2016-12-25 00:00:00",24
"2016-12-26 00:00:00",23
"2016-12-27 00:00:00",36
"2016-12-28 00:00:00",32
"2016-12-29 00:00:00",41
"2016-12-30 00:00:00",45
"2016-12-31 00:00:00",29
"2017-01-01 00:00:00",25
"2017-01-02 00:00:00",28
"2017-01-03 00:00:00",40
"2017-01-04 00:00:00",40
"2017-01-05 00:00:00",35
"2017-01-06 00:00:00",31
"2017-01-07 00:00:00",30
"2017-01-08 00:00:00",33
"2017-01-09 00:00:00",36
"2017-01-10 00:00:00",39
"2017-01-11 00:00:00",35
"2017-01-12 00:00:00",37
"2017-01-13 00:00:00",36
"2017-01-14 00:00:00",29
"2017-01-15 00:00:00",30
"2017-01-16 00:00:00",33
"2017-01-17 00:00:00",39
"2017-01-18 00:00:00",34
"2017-01-19 00:00:00",31
"2017-01-20 00:00:00",34
"2017-01-21 00:00:00",31
"2017-01-22 00:00:00",36
"2017-01-23 00:00:00",35
"2017-01-24 00:00:00",41
"2017-01-25 00:00:00",38
"2017-01-26 00:00:00",36
"2017-01-27 00:00:00",35
"2017-01-28 00:00:00",33
"2017-01-29 00:00:00",31
"2017-01-30 00:00:00",33
"2017-01-31 00:00:00",32
"2017-02-01 00:00:00",38
"2017-02-02 00:00:00",35
"2017-02-03 00:00:00",34
"2017-02-04 00:00:00",33
"2017-02-05 00:00:00",35
"2017-02-06 00:00:00",36
"2017-02-07 00:00:00",46
"2017-02-08 00:00:00",44
"2017-02-09 00:00:00",41
"2017-02-10 00:00:00",46
"2017-02-11 00:00:00",38
"2017-02-12 00:00:00",40
"2017-02-13 00:00:00",61
"2017-02-14 00:00:00",50
"2017-02-15 00:00:00",91
"2017-02-16 00:00:00",39
"2017-02-17 00:00:00",39
"2017-02-18 00:00:00",45
"2017-02-19 00:00:00",36
"2017-02-20 00:00:00",41
"2017-02-21 00:00:00",55
"2017-02-22 00:00:00",51
"2017-02-23 00:00:00",43
"2017-02-24 00:00:00",41
"2017-02-25 00:00:00",45
"2017-02-26 00:00:00",39
"2017-02-27 00:00:00",45
"2017-02-28 00:00:00",51
"2017-03-01 00:00:00",55
"2017-03-02 00:00:00",55
"2017-03-03 00:00:00",46
"2017-03-04 00:00:00",43
"2017-03-05 00:00:00",43
"2017-03-06 00:00:00",41
"2017-03-07 00:00:00",44
"2017-03-08 00:00:00",40
"2017-03-09 00:00:00",50
"2017-03-10 00:00:00",56
"2017-03-11 00:00:00",48
"2017-03-12 00:00:00",49
"2017-03-13 00:00:00",76
"2017-03-14 00:00:00",75
"2017-03-15 00:00:00",64
"2017-03-16 00:00:00",85
"2017-03-17 00:00:00",89
"2017-03-18 00:00:00",61
"2017-03-19 00:00:00",57
"2017-03-20 00:00:00",57
"2017-03-21 00:00:00",64
"2017-03-22 00:00:00",60
"2017-03-23 00:00:00",61
"2017-03-24 00:00:00",73
"2017-03-25 00:00:00",58
"2017-03-26 00:00:00",58
"2017-03-27 00:00:00",78
"2017-03-28 00:00:00",64
"2017-03-29 00:00:00",69
"2017-03-30 00:00:00",71
"2017-03-31 00:00:00",77
"2017-04-01 00:00:00",57
"2017-04-02 00:00:00",66
"2017-04-03 00:00:00",75
"2017-04-04 00:00:00",65
"2017-04-05 00:00:00",68
"2017-04-06 00:00:00",73
"2017-04-07 00:00:00",72
"2017-04-08 00:00:00",52
"2017-04-09 00:00:00",57
"2017-04-10 00:00:00",63
"2017-04-11 00:00:00",59
"2017-04-12 00:00:00",81
"2017-04-13 00:00:00",62
"2017-04-14 00:00:00",63
"2017-04-15 00:00:00",58
"2017-04-16 00:00:00",55
"2017-04-17 00:00:00",60
"2017-04-18 00:00:00",74
"2017-04-19 00:00:00",78
"2017-04-20 00:00:00",72
"2017-04-21 00:00:00",92
"2017-04-22 00:00:00",75
"2017-04-23 00:00:00",65
"2017-04-24 00:00:00",73
"2017-04-25 00:00:00",79
"2017-04-26 00:00:00",75
"2017-04-27 00:00:00",87
"2017-04-28 00:00:00",79
"2017-04-29 00:00:00",70
"2017-04-30 00:00:00",79
"2017-05-01 00:00:00",106
"2017-05-02 00:00:00",113
"2017-05-03 00:00:00",77
"2017-05-04 00:00:00",92
"2017-05-05 00:00:00",84
"2017-05-06 00:00:00",84
"2017-05-07 00:00:00",106
"2017-05-08 00:00:00",96
"2017-05-09 00:00:00",107
"2017-05-10 00:00:00",105
"2017-05-11 00:00:00",109
"2017-05-12 00:00:00",109
"2017-05-13 00:00:00",107
"2017-05-14 00:00:00",106
"2017-05-15 00:00:00",132
"2017-05-16 00:00:00",137
"2017-05-17 00:00:00",220
"2017-05-18 00:00:00",158
"2017-05-19 00:00:00",174
"2017-05-20 00:00:00",156
"2017-05-21 00:00:00",161
"2017-05-22 00:00:00",183
"2017-05-23 00:00:00",254
"2017-05-24 00:00:00",272
"2017-05-25 00:00:00",219
"2017-05-26 00:00:00",206
"2017-05-27 00:00:00",182
"2017-05-28 00:00:00",193
"2017-05-29 00:00:00",193
"2017-05-30 00:00:00",320
"2017-05-31 00:00:00",634
"2017-06-01 00:00:00",253
"2017-06-02 00:00:00",292
"2017-06-03 00:00:00",228
"2017-06-04 00:00:00",256
"2017-06-05 00:00:00",220
"2017-06-06 00:00:00",265
"2017-06-07 00:00:00",278
"2017-06-08 00:00:00",240
"2017-06-09 00:00:00",251
"2017-06-10 00:00:00",215
"2017-06-11 00:00:00",314
"2017-06-12 00:00:00",513
"2017-06-13 00:00:00",295
"2017-06-14 00:00:00",255
"2017-06-15 00:00:00",280
"2017-06-16 00:00:00",258
"2017-06-17 00:00:00",239
"2017-06-18 00:00:00",252
"2017-06-19 00:00:00",283
"2017-06-20 00:00:00",720
"2017-06-21 00:00:00",913
"2017-06-22 00:00:00",685
"2017-06-23 00:00:00",470
"2017-06-24 00:00:00",640
"2017-06-25 00:00:00",412
"2017-06-26 00:00:00",875
"2017-06-27 00:00:00",332
"2017-06-28 00:00:00",773
"2017-06-29 00:00:00",466
"2017-06-30 00:00:00",352
"2017-07-01 00:00:00",316
"2017-07-02 00:00:00",317
"2017-07-03 00:00:00",426
"2017-07-04 00:00:00",377
"2017-07-05 00:00:00",409
"2017-07-06 00:00:00",305
"2017-07-07 00:00:00",356
"2017-07-08 00:00:00",360
"2017-07-09 00:00:00",256
"2017-07-10 00:00:00",262
"2017-07-11 00:00:00",287
"2017-07-12 00:00:00",330
"2017-07-13 00:00:00",327
"2017-07-14 00:00:00",276
"2017-07-15 00:00:00",288
"2017-07-16 00:00:00",277
"2017-07-17 00:00:00",282
"2017-07-18 00:00:00",424
"2017-07-19 00:00:00",325
"2017-07-20 00:00:00",256
"2017-07-21 00:00:00",310
"2017-07-22 00:00:00",225
"2017-07-23 00:00:00",288
"2017-07-24 00:00:00",309
"2017-07-25 00:00:00",355
"2017-07-26 00:00:00",294
"2017-07-27 00:00:00",264
"2017-07-28 00:00:00",282
"2017-07-29 00:00:00",204
"2017-07-30 00:00:00",208
"2017-07-31 00:00:00",231
"2017-08-01 00:00:00",264
"2017-08-02 00:00:00",237
"2017-08-03 00:00:00",237
"2017-08-04 00:00:00",220
"2017-08-05 00:00:00",236
"2017-08-06 00:00:00",245
"2017-08-07 00:00:00",323
"2017-08-08 00:00:00",339
"2017-08-09 00:00:00",269
"2017-08-10 00:00:00",313
"2017-08-11 00:00:00",354
"2017-08-12 00:00:00",345
"2017-08-13 00:00:00",305
"2017-08-14 00:00:00",346
"2017-08-15 00:00:00",384
"2017-08-16 00:00:00",1168
"2017-08-17 00:00:00",691
"2017-08-18 00:00:00",1019
"2017-08-19 00:00:00",472
"2017-08-20 00:00:00",293
"2017-08-21 00:00:00",330
"2017-08-22 00:00:00",325
"2017-08-23 00:00:00",316
"2017-08-24 00:00:00",323
"2017-08-25 00:00:00",310
"2017-08-26 00:00:00",298
"2017-08-27 00:00:00",275
"2017-08-28 00:00:00",323
"2017-08-29 00:00:00",516
"2017-08-30 00:00:00",433
"2017-08-31 00:00:00",738
"2017-09-01 00:00:00",515
"2017-09-02 00:00:00",614
"2017-09-03 00:00:00",297
"2017-09-04 00:00:00",488
"2017-09-05 00:00:00",616
"2017-09-06 00:00:00",770
"2017-09-07 00:00:00",734
"2017-09-08 00:00:00",759
"2017-09-09 00:00:00",441
"2017-09-10 00:00:00",413
"2017-09-11 00:00:00",393
"2017-09-12 00:00:00",520
"2017-09-13 00:00:00",463
"2017-09-14 00:00:00",409
"2017-09-15 00:00:00",637
"2017-09-16 00:00:00",661
"2017-09-17 00:00:00",371
"2017-09-18 00:00:00",403
"2017-09-19 00:00:00",385
"2017-09-20 00:00:00",657
"2017-09-21 00:00:00",326
"2017-09-22 00:00:00",306
"2017-09-23 00:00:00",316
"2017-09-24 00:00:00",440
"2017-09-25 00:00:00",383
"2017-09-26 00:00:00",386
"2017-09-27 00:00:00",423
"2017-09-28 00:00:00",370
"2017-09-29 00:00:00",331
"2017-09-30 00:00:00",372
"2017-10-01 00:00:00",359
"2017-10-02 00:00:00",357
"2017-10-03 00:00:00",381
"2017-10-04 00:00:00",385
"2017-10-05 00:00:00",419
"2017-10-06 00:00:00",437
"2017-10-07 00:00:00",316
"2017-10-08 00:00:00",357
"2017-10-09 00:00:00",380
"2017-10-10 00:00:00",418
"2017-10-11 00:00:00",938
"2017-10-12 00:00:00",422
"2017-10-13 00:00:00",475
"2017-10-14 00:00:00",398
"2017-10-15 00:00:00",386
"2017-10-16 00:00:00",337
"2017-10-17 00:00:00",323
"2017-10-18 00:00:00",299
"2017-10-19 00:00:00",284
"2017-10-20 00:00:00",492
"2017-10-21 00:00:00",230
"2017-10-22 00:00:00",196
"2017-10-23 00:00:00",270
"2017-10-24 00:00:00",357
"2017-10-25 00:00:00",291
"2017-10-26 00:00:00",275
"2017-10-27 00:00:00",297
"2017-10-28 00:00:00",241
"2017-10-29 00:00:00",243
"2017-10-30 00:00:00",296
"2017-10-31 00:00:00",331
"2017-11-01 00:00:00",370
"2017-11-02 00:00:00",374
"2017-11-03 00:00:00",279
"2017-11-04 00:00:00",212
"2017-11-05 00:00:00",200
"2017-11-06 00:00:00",269
"2017-11-07 00:00:00",315
"2017-11-08 00:00:00",380
"2017-11-09 00:00:00",325
"2017-11-10 00:00:00",292
"2017-11-11 00:00:00",233
"2017-11-12 00:00:00",298
"2017-11-13 00:00:00",309
"2017-11-14 00:00:00",336
"2017-11-15 00:00:00",413
"2017-11-16 00:00:00",354
"2017-11-17 00:00:00",373
"2017-11-18 00:00:00",256
"2017-11-19 00:00:00",282
"2017-11-20 00:00:00",372
"2017-11-21 00:00:00",364
"2017-11-22 00:00:00",365
"2017-11-23 00:00:00",363
"2017-11-24 00:00:00",312
"2017-11-25 00:00:00",289
"2017-11-26 00:00:00",355
"2017-11-27 00:00:00",369
"2017-11-28 00:00:00",423
"2017-11-29 00:00:00",444
"2017-11-30 00:00:00",423
"2017-12-01 00:00:00",416
"2017-12-02 00:00:00",345
"2017-12-03 00:00:00",407
"2017-12-04 00:00:00",804
"2017-12-05 00:00:00",1183
"2017-12-06 00:00:00",1541
"2017-12-07 00:00:00",2244
"2017-12-08 00:00:00",2321
"2017-12-09 00:00:00",2132
"2017-12-10 00:00:00",1920
"2017-12-11 00:00:00",1533
"2017-12-12 00:00:00",1562
"2017-12-13 00:00:00",1448
"2017-12-14 00:00:00",1719
"2017-12-15 00:00:00",1457
"2017-12-16 00:00:00",1471
"2017-12-17 00:00:00",1175
"2017-12-18 00:00:00",1164
"2017-12-19 00:00:00",1490
"2017-12-20 00:00:00",1735
"2017-12-21 00:00:00",1763
"2017-12-22 00:00:00",1646
"2017-12-23 00:00:00",1209
"2017-12-24 00:00:00",1025
"2017-12-25 00:00:00",757
"2017-12-26 00:00:00",745
"2017-12-27 00:00:00",827
"2017-12-28 00:00:00",834
"2017-12-29 00:00:00",1008
"2017-12-30 00:00:00",974
"2017-12-31 00:00:00",873
"2018-01-01 00:00:00",770
"2018-01-02 00:00:00",1054
"2018-01-03 00:00:00",1244
"2018-01-04 00:00:00",1485
"2018-01-05 00:00:00",3190
"2018-01-06 00:00:00",3649
"2018-01-07 00:00:00",2916
"2018-01-08 00:00:00",2958
"2018-01-09 00:00:00",3103
"2018-01-10 00:00:00",3710
"2018-01-11 00:00:00",3139
"2018-01-12 00:00:00",2333
"2018-01-13 00:00:00",2420
"2018-01-14 00:00:00",2248
"2018-01-15 00:00:00",2232
"2018-01-16 00:00:00",2235
"2018-01-17 00:00:00",2073
"2018-01-18 00:00:00",2157
"2018-01-19 00:00:00",1870
"2018-01-20 00:00:00",1779
"2018-01-21 00:00:00",1328
"2018-01-22 00:00:00",1198
"2018-01-23 00:00:00",1440
"2018-01-24 00:00:00",1293
"2018-01-25 00:00:00",1060
"2018-01-26 00:00:00",960
"2018-01-27 00:00:00",817
"2018-01-28 00:00:00",888
"2018-01-29 00:00:00",1275
"2018-01-30 00:00:00",1064
"2018-01-31 00:00:00",1070
"2018-02-01 00:00:00",1555
"2018-02-02 00:00:00",1204
"2018-02-03 00:00:00",888
"2018-02-04 00:00:00",846
"2018-02-05 00:00:00",874
"2018-02-06 00:00:00",927
"2018-02-07 00:00:00",853
"2018-02-08 00:00:00",656
"2018-02-09 00:00:00",693
"2018-02-10 00:00:00",750
"2018-02-11 00:00:00",624
"2018-02-12 00:00:00",621
"2018-02-13 00:00:00",618
"2018-02-14 00:00:00",627
"2018-02-15 00:00:00",628
"2018-02-16 00:00:00",595
"2018-02-17 00:00:00",662
"2018-02-18 00:00:00",765
"2018-02-19 00:00:00",647
"2018-02-20 00:00:00",720
"2018-02-21 00:00:00",739
"2018-02-22 00:00:00",602
"2018-02-23 00:00:00",623
"2018-02-24 00:00:00",621
"2018-02-25 00:00:00",546
"2018-02-26 00:00:00",536
"2018-02-27 00:00:00",545
"2018-02-28 00:00:00",735
"2018-03-01 00:00:00",555
"2018-03-02 00:00:00",728
"2018-03-03 00:00:00",502
"2018-03-04 00:00:00",542
"2018-03-05 00:00:00",623
"2018-03-06 00:00:00",515
"2018-03-07 00:00:00",592
"2018-03-08 00:00:00",526
"2018-03-09 00:00:00",494
"2018-03-10 00:00:00",393
"2018-03-11 00:00:00",356
"2018-03-12 00:00:00",506
"2018-03-13 00:00:00",379
"2018-03-14 00:00:00",421
"2018-03-15 00:00:00",382
"2018-03-16 00:00:00",418
"2018-03-17 00:00:00",308
"2018-03-18 00:00:00",356
"2018-03-19 00:00:00",364
"2018-03-20 00:00:00",368
"2018-03-21 00:00:00",435
"2018-03-22 00:00:00",419
"2018-03-23 00:00:00",441
"2018-03-24 00:00:00",375
"2018-03-25 00:00:00",327
"2018-03-26 00:00:00",431
"2018-03-27 00:00:00",357
"2018-03-28 00:00:00",366
"2018-03-29 00:00:00",382
"2018-03-30 00:00:00",352
"2018-03-31 00:00:00",278
"2018-04-01 00:00:00",250
"2018-04-02 00:00:00",303
"2018-04-03 00:00:00",330
"2018-04-04 00:00:00",282
"2018-04-05 00:00:00",486
"2018-04-06 00:00:00",352
"2018-04-07 00:00:00",243
"2018-04-08 00:00:00",278
"2018-04-09 00:00:00",302
"2018-04-10 00:00:00",289
"2018-04-11 00:00:00",314
"2018-04-12 00:00:00",372
"2018-04-13 00:00:00",437
"2018-04-14 00:00:00",313