"DateTime","Total Daily Uncle Mining Reward [Ether]"
"2015-07-30 00:00:00",4553
"2015-07-31 00:00:00",1797
"2015-08-01 00:00:00",1189
"2015-08-02 00:00:00",1372
"2015-08-03 00:00:00",1508
"2015-08-04 00:00:00",1567
"2015-08-05 00:00:00",1296
"2015-08-06 00:00:00",1431
"2015-08-07 00:00:00",1429
"2015-08-08 00:00:00",1592
"2015-08-09 00:00:00",1498
"2015-08-10 00:00:00",1478
"2015-08-11 00:00:00",1559
"2015-08-12 00:00:00",1677
"2015-08-13 00:00:00",1759
"2015-08-14 00:00:00",1975
"2015-08-15 00:00:00",1534
"2015-08-16 00:00:00",1374
"2015-08-17 00:00:00",1325
"2015-08-18 00:00:00",1362
"2015-08-19 00:00:00",1266
"2015-08-20 00:00:00",897
"2015-08-21 00:00:00",1198
"2015-08-22 00:00:00",1145
"2015-08-23 00:00:00",1141
"2015-08-24 00:00:00",1354
"2015-08-25 00:00:00",1199
"2015-08-26 00:00:00",1076
"2015-08-27 00:00:00",951
"2015-08-28 00:00:00",920
"2015-08-29 00:00:00",844
"2015-08-30 00:00:00",651
"2015-08-31 00:00:00",655
"2015-09-01 00:00:00",626
"2015-09-02 00:00:00",481
"2015-09-03 00:00:00",446
"2015-09-04 00:00:00",831
"2015-09-05 00:00:00",981
"2015-09-06 00:00:00",1224
"2015-09-07 00:00:00",1237
"2015-09-08 00:00:00",1223
"2015-09-09 00:00:00",1199
"2015-09-10 00:00:00",1369
"2015-09-11 00:00:00",1471
"2015-09-12 00:00:00",1218
"2015-09-13 00:00:00",1261
"2015-09-14 00:00:00",1277
"2015-09-15 00:00:00",1346
"2015-09-16 00:00:00",1474
"2015-09-17 00:00:00",1338
"2015-09-18 00:00:00",1394
"2015-09-19 00:00:00",1713
"2015-09-20 00:00:00",1397
"2015-09-21 00:00:00",1224
"2015-09-22 00:00:00",1069
"2015-09-23 00:00:00",1203
"2015-09-24 00:00:00",1228
"2015-09-25 00:00:00",1316
"2015-09-26 00:00:00",1208
"2015-09-27 00:00:00",1098
"2015-09-28 00:00:00",981
"2015-09-29 00:00:00",1119
"2015-09-30 00:00:00",1253
"2015-10-01 00:00:00",1314
"2015-10-02 00:00:00",1148
"2015-10-03 00:00:00",1023
"2015-10-04 00:00:00",1006
"2015-10-05 00:00:00",1046
"2015-10-06 00:00:00",965
"2015-10-07 00:00:00",1068
"2015-10-08 00:00:00",980
"2015-10-09 00:00:00",884
"2015-10-10 00:00:00",978
"2015-10-11 00:00:00",1099
"2015-10-12 00:00:00",1016
"2015-10-13 00:00:00",1081
"2015-10-14 00:00:00",1156
"2015-10-15 00:00:00",939
"2015-10-16 00:00:00",984
"2015-10-17 00:00:00",1122
"2015-10-18 00:00:00",1077
"2015-10-19 00:00:00",1046
"2015-10-20 00:00:00",1191
"2015-10-21 00:00:00",1051
"2015-10-22 00:00:00",1108
"2015-10-23 00:00:00",1192
"2015-10-24 00:00:00",1208
"2015-10-25 00:00:00",1279
"2015-10-26 00:00:00",1318
"2015-10-27 00:00:00",1368
"2015-10-28 00:00:00",1451
"2015-10-29 00:00:00",1646
"2015-10-30 00:00:00",1500
"2015-10-31 00:00:00",2016
"2015-11-01 00:00:00",2293
"2015-11-02 00:00:00",1931
"2015-11-03 00:00:00",2091
"2015-11-04 00:00:00",2006
"2015-11-05 00:00:00",1703
"2015-11-06 00:00:00",1642
"2015-11-07 00:00:00",2019
"2015-11-08 00:00:00",2095
"2015-11-09 00:00:00",1860
"2015-11-10 00:00:00",2089
"2015-11-11 00:00:00",2577
"2015-11-12 00:00:00",2521
"2015-11-13 00:00:00",2484
"2015-11-14 00:00:00",2611
"2015-11-15 00:00:00",2058
"2015-11-16 00:00:00",2110
"2015-11-17 00:00:00",1898
"2015-11-18 00:00:00",1801
"2015-11-19 00:00:00",1609
"2015-11-20 00:00:00",1463
"2015-11-21 00:00:00",1541
"2015-11-22 00:00:00",1672
"2015-11-23 00:00:00",1752
"2015-11-24 00:00:00",1768
"2015-11-25 00:00:00",1699
"2015-11-26 00:00:00",1763
"2015-11-27 00:00:00",1934
"2015-11-28 00:00:00",2079
"2015-11-29 00:00:00",2012
"2015-11-30 00:00:00",1876
"2015-12-01 00:00:00",2064
"2015-12-02 00:00:00",1809
"2015-12-03 00:00:00",1954
"2015-12-04 00:00:00",1572
"2015-12-05 00:00:00",1488
"2015-12-06 00:00:00",1620
"2015-12-07 00:00:00",1787
"2015-12-08 00:00:00",1685
"2015-12-09 00:00:00",2190
"2015-12-10 00:00:00",1684
"2015-12-11 00:00:00",1642
"2015-12-12 00:00:00",1751
"2015-12-13 00:00:00",1445
"2015-12-14 00:00:00",1643
"2015-12-15 00:00:00",1595
"2015-12-16 00:00:00",1484
"2015-12-17 00:00:00",1518
"2015-12-18 00:00:00",1507
"2015-12-19 00:00:00",1442
"2015-12-20 00:00:00",1631
"2015-12-21 00:00:00",1513
"2015-12-22 00:00:00",1658
"2015-12-23 00:00:00",1763
"2015-12-24 00:00:00",1531
"2015-12-25 00:00:00",1346
"2015-12-26 00:00:00",1477
"2015-12-27 00:00:00",1691
"2015-12-28 00:00:00",1584
"2015-12-29 00:00:00",1684
"2015-12-30 00:00:00",1531
"2015-12-31 00:00:00",1642
"2016-01-01 00:00:00",1574
"2016-01-02 00:00:00",1830
"2016-01-03 00:00:00",1923
"2016-01-04 00:00:00",1860
"2016-01-05 00:00:00",2118
"2016-01-06 00:00:00",2086
"2016-01-07 00:00:00",2030
"2016-01-08 00:00:00",2030
"2016-01-09 00:00:00",2014
"2016-01-10 00:00:00",1748
"2016-01-11 00:00:00",1409
"2016-01-12 00:00:00",1199
"2016-01-13 00:00:00",1463
"2016-01-14 00:00:00",1409
"2016-01-15 00:00:00",1321
"2016-01-16 00:00:00",1239
"2016-01-17 00:00:00",1361
"2016-01-18 00:00:00",1208
"2016-01-19 00:00:00",1182
"2016-01-20 00:00:00",1296
"2016-01-21 00:00:00",1058
"2016-01-22 00:00:00",1169
"2016-01-23 00:00:00",1083
"2016-01-24 00:00:00",1344
"2016-01-25 00:00:00",1238
"2016-01-26 00:00:00",1178
"2016-01-27 00:00:00",1136
"2016-01-28 00:00:00",1218
"2016-01-29 00:00:00",1203
"2016-01-30 00:00:00",1062
"2016-01-31 00:00:00",1267
"2016-02-01 00:00:00",1300
"2016-02-02 00:00:00",1048
"2016-02-03 00:00:00",1249
"2016-02-04 00:00:00",1200
"2016-02-05 00:00:00",1273
"2016-02-06 00:00:00",1352
"2016-02-07 00:00:00",1198
"2016-02-08 00:00:00",1246
"2016-02-09 00:00:00",1146
"2016-02-10 00:00:00",1300
"2016-02-11 00:00:00",1326
"2016-02-12 00:00:00",1281
"2016-02-13 00:00:00",1358
"2016-02-14 00:00:00",1321
"2016-02-15 00:00:00",1294
"2016-02-16 00:00:00",1266
"2016-02-17 00:00:00",1329
"2016-02-18 00:00:00",1169
"2016-02-19 00:00:00",1429
"2016-02-20 00:00:00",1252
"2016-02-21 00:00:00",1209
"2016-02-22 00:00:00",1191
"2016-02-23 00:00:00",1269
"2016-02-24 00:00:00",1229
"2016-02-25 00:00:00",1134
"2016-02-26 00:00:00",1322
"2016-02-27 00:00:00",1189
"2016-02-28 00:00:00",1224
"2016-02-29 00:00:00",1082
"2016-03-01 00:00:00",1169
"2016-03-02 00:00:00",1163
"2016-03-03 00:00:00",996
"2016-03-04 00:00:00",874
"2016-03-05 00:00:00",851
"2016-03-06 00:00:00",824
"2016-03-07 00:00:00",817
"2016-03-08 00:00:00",704
"2016-03-09 00:00:00",761
"2016-03-10 00:00:00",616
"2016-03-11 00:00:00",936
"2016-03-12 00:00:00",1205
"2016-03-13 00:00:00",1266
"2016-03-14 00:00:00",828
"2016-03-15 00:00:00",1268
"2016-03-16 00:00:00",1303
"2016-03-17 00:00:00",1540
"2016-03-18 00:00:00",1409
"2016-03-19 00:00:00",1591
"2016-03-20 00:00:00",1394
"2016-03-21 00:00:00",1348
"2016-03-22 00:00:00",1294
"2016-03-23 00:00:00",1358
"2016-03-24 00:00:00",1493
"2016-03-25 00:00:00",1489
"2016-03-26 00:00:00",1391
"2016-03-27 00:00:00",1337
"2016-03-28 00:00:00",1251
"2016-03-29 00:00:00",1325
"2016-03-30 00:00:00",1398
"2016-03-31 00:00:00",1225
"2016-04-01 00:00:00",1413
"2016-04-02 00:00:00",1338
"2016-04-03 00:00:00",1483
"2016-04-04 00:00:00",1453
"2016-04-05 00:00:00",1345
"2016-04-06 00:00:00",1184
"2016-04-07 00:00:00",1339
"2016-04-08 00:00:00",1339
"2016-04-09 00:00:00",1190
"2016-04-10 00:00:00",1389
"2016-04-11 00:00:00",1224
"2016-04-12 00:00:00",1249
"2016-04-13 00:00:00",1346
"2016-04-14 00:00:00",1237
"2016-04-15 00:00:00",1373
"2016-04-16 00:00:00",1371
"2016-04-17 00:00:00",1364
"2016-04-18 00:00:00",1513
"2016-04-19 00:00:00",1414
"2016-04-20 00:00:00",1511
"2016-04-21 00:00:00",1359
"2016-04-22 00:00:00",1357
"2016-04-23 00:00:00",1372
"2016-04-24 00:00:00",1518
"2016-04-25 00:00:00",1544
"2016-04-26 00:00:00",1460
"2016-04-27 00:00:00",1494
"2016-04-28 00:00:00",1464
"2016-04-29 00:00:00",1465
"2016-04-30 00:00:00",1531
"2016-05-01 00:00:00",1245
"2016-05-02 00:00:00",1443
"2016-05-03 00:00:00",1451
"2016-05-04 00:00:00",1489
"2016-05-05 00:00:00",1523
"2016-05-06 00:00:00",1555
"2016-05-07 00:00:00",1560
"2016-05-08 00:00:00",1523
"2016-05-09 00:00:00",1512
"2016-05-10 00:00:00",1568
"2016-05-11 00:00:00",1609
"2016-05-12 00:00:00",1685
"2016-05-13 00:00:00",1793
"2016-05-14 00:00:00",1794
"2016-05-15 00:00:00",1659
"2016-05-16 00:00:00",1633
"2016-05-17 00:00:00",1758
"2016-05-18 00:00:00",2006
"2016-05-19 00:00:00",1777
"2016-05-20 00:00:00",1830
"2016-05-21 00:00:00",1859
"2016-05-22 00:00:00",1764
"2016-05-23 00:00:00",1935
"2016-05-24 00:00:00",1875
"2016-05-25 00:00:00",2125
"2016-05-26 00:00:00",1873
"2016-05-27 00:00:00",2014
"2016-05-28 00:00:00",2136
"2016-05-29 00:00:00",1891
"2016-05-30 00:00:00",1891
"2016-05-31 00:00:00",1781
"2016-06-01 00:00:00",1874
"2016-06-02 00:00:00",1751
"2016-06-03 00:00:00",2045
"2016-06-04 00:00:00",1983
"2016-06-05 00:00:00",1699
"2016-06-06 00:00:00",1760
"2016-06-07 00:00:00",1919
"2016-06-08 00:00:00",1776
"2016-06-09 00:00:00",1698
"2016-06-10 00:00:00",1590
"2016-06-11 00:00:00",1736
"2016-06-12 00:00:00",1819
"2016-06-13 00:00:00",1734
"2016-06-14 00:00:00",1894
"2016-06-15 00:00:00",1761
"2016-06-16 00:00:00",1733
"2016-06-17 00:00:00",4007
"2016-06-18 00:00:00",4750
"2016-06-19 00:00:00",2005
"2016-06-20 00:00:00",1893
"2016-06-21 00:00:00",1917
"2016-06-22 00:00:00",1899
"2016-06-23 00:00:00",1763
"2016-06-24 00:00:00",1886
"2016-06-25 00:00:00",1630
"2016-06-26 00:00:00",1976
"2016-06-27 00:00:00",1764
"2016-06-28 00:00:00",1755
"2016-06-29 00:00:00",1840
"2016-06-30 00:00:00",1981
"2016-07-01 00:00:00",1906
"2016-07-02 00:00:00",1827
"2016-07-03 00:00:00",1744
"2016-07-04 00:00:00",1736
"2016-07-05 00:00:00",1761
"2016-07-06 00:00:00",1840
"2016-07-07 00:00:00",1648
"2016-07-08 00:00:00",1893
"2016-07-09 00:00:00",2083
"2016-07-10 00:00:00",1668
"2016-07-11 00:00:00",1768
"2016-07-12 00:00:00",1663
"2016-07-13 00:00:00",1661
"2016-07-14 00:00:00",1734
"2016-07-15 00:00:00",1868
"2016-07-16 00:00:00",1696
"2016-07-17 00:00:00",1568
"2016-07-18 00:00:00",1876
"2016-07-19 00:00:00",1848
"2016-07-20 00:00:00",2100
"2016-07-21 00:00:00",1936
"2016-07-22 00:00:00",1832
"2016-07-23 00:00:00",1856
"2016-07-24 00:00:00",1722
"2016-07-25 00:00:00",1771
"2016-07-26 00:00:00",1666
"2016-07-27 00:00:00",1983
"2016-07-28 00:00:00",1874
"2016-07-29 00:00:00",1966
"2016-07-30 00:00:00",1669
"2016-07-31 00:00:00",1996
"2016-08-01 00:00:00",1721
"2016-08-02 00:00:00",1813
"2016-08-03 00:00:00",1719
"2016-08-04 00:00:00",1820
"2016-08-05 00:00:00",1834
"2016-08-06 00:00:00",1634
"2016-08-07 00:00:00",1833
"2016-08-08 00:00:00",1809
"2016-08-09 00:00:00",1939
"2016-08-10 00:00:00",1820
"2016-08-11 00:00:00",1794
"2016-08-12 00:00:00",1954
"2016-08-13 00:00:00",1768
"2016-08-14 00:00:00",1730
"2016-08-15 00:00:00",1807
"2016-08-16 00:00:00",1699
"2016-08-17 00:00:00",1874
"2016-08-18 00:00:00",2200
"2016-08-19 00:00:00",1703
"2016-08-20 00:00:00",1884
"2016-08-21 00:00:00",2183
"2016-08-22 00:00:00",1828
"2016-08-23 00:00:00",2026
"2016-08-24 00:00:00",1930
"2016-08-25 00:00:00",1600
"2016-08-26 00:00:00",1769
"2016-08-27 00:00:00",1851
"2016-08-28 00:00:00",1781
"2016-08-29 00:00:00",1784
"2016-08-30 00:00:00",1676
"2016-08-31 00:00:00",1699
"2016-09-01 00:00:00",1729
"2016-09-02 00:00:00",1868
"2016-09-03 00:00:00",1683
"2016-09-04 00:00:00",1681
"2016-09-05 00:00:00",1738
"2016-09-06 00:00:00",1649
"2016-09-07 00:00:00",1612
"2016-09-08 00:00:00",1756
"2016-09-09 00:00:00",1774
"2016-09-10 00:00:00",1764
"2016-09-11 00:00:00",1813
"2016-09-12 00:00:00",1846
"2016-09-13 00:00:00",1816
"2016-09-14 00:00:00",1993
"2016-09-15 00:00:00",1948
"2016-09-16 00:00:00",1839
"2016-09-17 00:00:00",1858
"2016-09-18 00:00:00",1517
"2016-09-19 00:00:00",2127
"2016-09-20 00:00:00",1583
"2016-09-21 00:00:00",1696
"2016-09-22 00:00:00",2743
"2016-09-23 00:00:00",3014
"2016-09-24 00:00:00",3768
"2016-09-25 00:00:00",2921
"2016-09-26 00:00:00",2779
"2016-09-27 00:00:00",4795
"2016-09-28 00:00:00",1792
"2016-09-29 00:00:00",1611
"2016-09-30 00:00:00",1516
"2016-10-01 00:00:00",5343
"2016-10-02 00:00:00",5195
"2016-10-03 00:00:00",2151
"2016-10-04 00:00:00",1583
"2016-10-05 00:00:00",3804
"2016-10-06 00:00:00",2937
"2016-10-07 00:00:00",6798
"2016-10-08 00:00:00",4877
"2016-10-09 00:00:00",3043
"2016-10-10 00:00:00",2799
"2016-10-11 00:00:00",2131
"2016-10-12 00:00:00",3391
"2016-10-13 00:00:00",4068
"2016-10-14 00:00:00",2408
"2016-10-15 00:00:00",1981
"2016-10-16 00:00:00",2539
"2016-10-17 00:00:00",2471
"2016-10-18 00:00:00",2607
"2016-10-19 00:00:00",4096
"2016-10-20 00:00:00",2908
"2016-10-21 00:00:00",1569
"2016-10-22 00:00:00",1431
"2016-10-23 00:00:00",1306
"2016-10-24 00:00:00",1661
"2016-10-25 00:00:00",1458
"2016-10-26 00:00:00",1412
"2016-10-27 00:00:00",1295
"2016-10-28 00:00:00",1304
"2016-10-29 00:00:00",1233
"2016-10-30 00:00:00",1593
"2016-10-31 00:00:00",1493
"2016-11-01 00:00:00",1247
"2016-11-02 00:00:00",1323
"2016-11-03 00:00:00",1402
"2016-11-04 00:00:00",1343
"2016-11-05 00:00:00",1381
"2016-11-06 00:00:00",1464
"2016-11-07 00:00:00",1611
"2016-11-08 00:00:00",1466
"2016-11-09 00:00:00",1323
"2016-11-10 00:00:00",1321
"2016-11-11 00:00:00",1319
"2016-11-12 00:00:00",1454
"2016-11-13 00:00:00",1348
"2016-11-14 00:00:00",1482
"2016-11-15 00:00:00",1346
"2016-11-16 00:00:00",1298
"2016-11-17 00:00:00",1404
"2016-11-18 00:00:00",1583
"2016-11-19 00:00:00",1514
"2016-11-20 00:00:00",1499
"2016-11-21 00:00:00",1384
"2016-11-22 00:00:00",1501
"2016-11-23 00:00:00",3298
"2016-11-24 00:00:00",2704
"2016-11-25 00:00:00",2750
"2016-11-26 00:00:00",2684
"2016-11-27 00:00:00",3813
"2016-11-28 00:00:00",3568
"2016-11-29 00:00:00",2899
"2016-11-30 00:00:00",1467
"2016-12-01 00:00:00",1398
"2016-12-02 00:00:00",1359
"2016-12-03 00:00:00",1258
