"DateTime","Total Supply [Ether]"
"2016-12-05 00:00:00",86639799
"2016-12-06 00:00:00",86671774
"2016-12-07 00:00:00",86703485
"2016-12-08 00:00:00",86735579
"2016-12-09 00:00:00",86767240
"2016-12-10 00:00:00",86798916
"2016-12-11 00:00:00",86830698
"2016-12-12 00:00:00",86862037
"2016-12-13 00:00:00",86893847
"2016-12-14 00:00:00",86925698
"2016-12-15 00:00:00",86957066
"2016-12-16 00:00:00",86988822
"2016-12-17 00:00:00",87020784
"2016-12-18 00:00:00",87052677
"2016-12-19 00:00:00",87084147
"2016-12-20 00:00:00",87115816
"2016-12-21 00:00:00",87147409
"2016-12-22 00:00:00",87178483
"2016-12-23 00:00:00",87209601
"2016-12-24 00:00:00",87240928
"2016-12-25 00:00:00",87272936
"2016-12-26 00:00:00",87304581
"2016-12-27 00:00:00",87335807
"2016-12-28 00:00:00",87367379
"2016-12-29 00:00:00",87399197
"2016-12-30 00:00:00",87430879
"2016-12-31 00:00:00",87462107
"2017-01-01 00:00:00",87493855
"2017-01-02 00:00:00",87525386
"2017-01-03 00:00:00",87556909
"2017-01-04 00:00:00",87589009
"2017-01-05 00:00:00",87620826
"2017-01-06 00:00:00",87652186
"2017-01-07 00:00:00",87684081
"2017-01-08 00:00:00",87715765
"2017-01-09 00:00:00",87747515
"2017-01-10 00:00:00",87778865
"2017-01-11 00:00:00",87810388
"2017-01-12 00:00:00",87841944
"2017-01-13 00:00:00",87873675
"2017-01-14 00:00:00",87905153
"2017-01-15 00:00:00",87936855
"2017-01-16 00:00:00",87968395
"2017-01-17 00:00:00",87999691
"2017-01-18 00:00:00",88031299
"2017-01-19 00:00:00",88063420
"2017-01-20 00:00:00",88094541
"2017-01-21 00:00:00",88126065
"2017-01-22 00:00:00",88157643
"2017-01-23 00:00:00",88189141
"2017-01-24 00:00:00",88220562
"2017-01-25 00:00:00",88251985
"2017-01-26 00:00:00",88283770
"2017-01-27 00:00:00",88314885
"2017-01-28 00:00:00",88346413
"2017-01-29 00:00:00",88377546
"2017-01-30 00:00:00",88409461
"2017-01-31 00:00:00",88440875
"2017-02-01 00:00:00",88472207
"2017-02-02 00:00:00",88503622
"2017-02-03 00:00:00",88534896
"2017-02-04 00:00:00",88566656
"2017-02-05 00:00:00",88598258
"2017-02-06 00:00:00",88629881
"2017-02-07 00:00:00",88661373
"2017-02-08 00:00:00",88693081
"2017-02-09 00:00:00",88724508
"2017-02-10 00:00:00",88756004
"2017-02-11 00:00:00",88787594
"2017-02-12 00:00:00",88819164
"2017-02-13 00:00:00",88850898
"2017-02-14 00:00:00",88882369
"2017-02-15 00:00:00",88914090
"2017-02-16 00:00:00",88945630
"2017-02-17 00:00:00",88976958
"2017-02-18 00:00:00",89008170
"2017-02-19 00:00:00",89039437
"2017-02-20 00:00:00",89070825
"2017-02-21 00:00:00",89102242
"2017-02-22 00:00:00",89133229
"2017-02-23 00:00:00",89164458
"2017-02-24 00:00:00",89195722
"2017-02-25 00:00:00",89227276
"2017-02-26 00:00:00",89259096
"2017-02-27 00:00:00",89290343
"2017-02-28 00:00:00",89322199
"2017-03-01 00:00:00",89353343
"2017-03-02 00:00:00",89384974
"2017-03-03 00:00:00",89416273
"2017-03-04 00:00:00",89447446
"2017-03-05 00:00:00",89479008
"2017-03-06 00:00:00",89510161
"2017-03-07 00:00:00",89541230
"2017-03-08 00:00:00",89572556
"2017-03-09 00:00:00",89603365
"2017-03-10 00:00:00",89634392
"2017-03-11 00:00:00",89665628
"2017-03-12 00:00:00",89696477
"2017-03-13 00:00:00",89728091
"2017-03-14 00:00:00",89759306
"2017-03-15 00:00:00",89790683
"2017-03-16 00:00:00",89822111
"2017-03-17 00:00:00",89853953
"2017-03-18 00:00:00",89885436
"2017-03-19 00:00:00",89916430
"2017-03-20 00:00:00",89948101
"2017-03-21 00:00:00",89979117
"2017-03-22 00:00:00",90010489
"2017-03-23 00:00:00",90041470
"2017-03-24 00:00:00",90072311
"2017-03-25 00:00:00",90103374
"2017-03-26 00:00:00",90134549
"2017-03-27 00:00:00",90165552
"2017-03-28 00:00:00",90196107
"2017-03-29 00:00:00",90227375
"2017-03-30 00:00:00",90258195
"2017-03-31 00:00:00",90289403
"2017-04-01 00:00:00",90320254
"2017-04-02 00:00:00",90350695
"2017-04-03 00:00:00",90381881
"2017-04-04 00:00:00",90412937
"2017-04-05 00:00:00",90444172
"2017-04-06 00:00:00",90474896
"2017-04-07 00:00:00",90505971
"2017-04-08 00:00:00",90536887
"2017-04-09 00:00:00",90567129
"2017-04-10 00:00:00",90597166
"2017-04-11 00:00:00",90627616
"2017-04-12 00:00:00",90657833
"2017-04-13 00:00:00",90688173
"2017-04-14 00:00:00",90719163
"2017-04-15 00:00:00",90749161
"2017-04-16 00:00:00",90779668
"2017-04-17 00:00:00",90810316
"2017-04-18 00:00:00",90840832
"2017-04-19 00:00:00",90870445
"2017-04-20 00:00:00",90900867
"2017-04-21 00:00:00",90931344
"2017-04-22 00:00:00",90961334
"2017-04-23 00:00:00",90991826
"2017-04-24 00:00:00",91021611
"2017-04-25 00:00:00",91052369
"2017-04-26 00:00:00",91081701
"2017-04-27 00:00:00",91111031
"2017-04-28 00:00:00",91140713
"2017-04-29 00:00:00",91169931
"2017-04-30 00:00:00",91199299
"2017-05-01 00:00:00",91228657
"2017-05-02 00:00:00",91258093
"2017-05-03 00:00:00",91287646
"2017-05-04 00:00:00",91317073
"2017-05-05 00:00:00",91346771
"2017-05-06 00:00:00",91376475
"2017-05-07 00:00:00",91406355
"2017-05-08 00:00:00",91435781
"2017-05-09 00:00:00",91465536
"2017-05-10 00:00:00",91495151
"2017-05-11 00:00:00",91524885
"2017-05-12 00:00:00",91554775
"2017-05-13 00:00:00",91584028
"2017-05-14 00:00:00",91612246
"2017-05-15 00:00:00",91640708
"2017-05-16 00:00:00",91669426
"2017-05-17 00:00:00",91697325
"2017-05-18 00:00:00",91725806
"2017-05-19 00:00:00",91754187
"2017-05-20 00:00:00",91782839
"2017-05-21 00:00:00",91811493
"2017-05-22 00:00:00",91840262
"2017-05-23 00:00:00",91868838
"2017-05-24 00:00:00",91897483
"2017-05-25 00:00:00",91926318
"2017-05-26 00:00:00",91955286
"2017-05-27 00:00:00",91984057
"2017-05-28 00:00:00",92012881
"2017-05-29 00:00:00",92042418
"2017-05-30 00:00:00",92072237
"2017-05-31 00:00:00",92100986
"2017-06-01 00:00:00",92129055
"2017-06-02 00:00:00",92155876
"2017-06-03 00:00:00",92183406
"2017-06-04 00:00:00",92210635
"2017-06-05 00:00:00",92238427
"2017-06-06 00:00:00",92265908
"2017-06-07 00:00:00",92293679
"2017-06-08 00:00:00",92321310
"2017-06-09 00:00:00",92348960
"2017-06-10 00:00:00",92377119
"2017-06-11 00:00:00",92405046
"2017-06-12 00:00:00",92433146
"2017-06-13 00:00:00",92461422
"2017-06-14 00:00:00",92489691
"2017-06-15 00:00:00",92517890
"2017-06-16 00:00:00",92546261
"2017-06-17 00:00:00",92574560
"2017-06-18 00:00:00",92603147
"2017-06-19 00:00:00",92631780
"2017-06-20 00:00:00",92658490
"2017-06-21 00:00:00",92684641
"2017-06-22 00:00:00",92711174
"2017-06-23 00:00:00",92737276
"2017-06-24 00:00:00",92763771
"2017-06-25 00:00:00",92790154
"2017-06-26 00:00:00",92816853
"2017-06-27 00:00:00",92843436
"2017-06-28 00:00:00",92870078
"2017-06-29 00:00:00",92897087
"2017-06-30 00:00:00",92923944
"2017-07-01 00:00:00",92950627
"2017-07-02 00:00:00",92977339
"2017-07-03 00:00:00",93004470
"2017-07-04 00:00:00",93031836
"2017-07-05 00:00:00",93058596
"2017-07-06 00:00:00",93085523
"2017-07-07 00:00:00",93112811
"2017-07-08 00:00:00",93139877
"2017-07-09 00:00:00",93166818
"2017-07-10 00:00:00",93191252
"2017-07-11 00:00:00",93215220
"2017-07-12 00:00:00",93239158
"2017-07-13 00:00:00",93262929
"2017-07-14 00:00:00",93286701
"2017-07-15 00:00:00",93310853
"2017-07-16 00:00:00",93334863
"2017-07-17 00:00:00",93358381
"2017-07-18 00:00:00",93382331
"2017-07-19 00:00:00",93406815
"2017-07-20 00:00:00",93431308
"2017-07-21 00:00:00",93455150
"2017-07-22 00:00:00",93479457
"2017-07-23 00:00:00",93503941
"2017-07-24 00:00:00",93527999
"2017-07-25 00:00:00",93552692
"2017-07-26 00:00:00",93577207
"2017-07-27 00:00:00",93601560
"2017-07-28 00:00:00",93626245
"2017-07-29 00:00:00",93650737
"2017-07-30 00:00:00",93675455
"2017-07-31 00:00:00",93699514
"2017-08-01 00:00:00",93720934
"2017-08-02 00:00:00",93742069
"2017-08-03 00:00:00",93763036
"2017-08-04 00:00:00",93784341
"2017-08-05 00:00:00",93805529
"2017-08-06 00:00:00",93826794
"2017-08-07 00:00:00",93848416
"2017-08-08 00:00:00",93870051
"2017-08-09 00:00:00",93891781
"2017-08-10 00:00:00",93913244
"2017-08-11 00:00:00",93935146
"2017-08-12 00:00:00",93957067
"2017-08-13 00:00:00",93979102
"2017-08-14 00:00:00",94001140
"2017-08-15 00:00:00",94023364
"2017-08-16 00:00:00",94045930
"2017-08-17 00:00:00",94068463
"2017-08-18 00:00:00",94090774
"2017-08-19 00:00:00",94113338
"2017-08-20 00:00:00",94135471
"2017-08-21 00:00:00",94158216
"2017-08-22 00:00:00",94180739
"2017-08-23 00:00:00",94203349
"2017-08-24 00:00:00",94225881
"2017-08-25 00:00:00",94244701
"2017-08-26 00:00:00",94263267
"2017-08-27 00:00:00",94281903
"2017-08-28 00:00:00",94300328
"2017-08-29 00:00:00",94319408
"2017-08-30 00:00:00",94338352
"2017-08-31 00:00:00",94357118
"2017-09-01 00:00:00",94375948
"2017-09-02 00:00:00",94394796
"2017-09-03 00:00:00",94413438
"2017-09-04 00:00:00",94432359
"2017-09-05 00:00:00",94451460
"2017-09-06 00:00:00",94470348
"2017-09-07 00:00:00",94489481
"2017-09-08 00:00:00",94508748
"2017-09-09 00:00:00",94527784
"2017-09-10 00:00:00",94546773
"2017-09-11 00:00:00",94565619
"2017-09-12 00:00:00",94584931
"2017-09-13 00:00:00",94603830
"2017-09-14 00:00:00",94623119
"2017-09-15 00:00:00",94642656
"2017-09-16 00:00:00",94661994
"2017-09-17 00:00:00",94681216
"2017-09-18 00:00:00",94700281
"2017-09-19 00:00:00",94719654
"2017-09-20 00:00:00",94738836
"2017-09-21 00:00:00",94758172
"2017-09-22 00:00:00",94773916
"2017-09-23 00:00:00",94788922
"2017-09-24 00:00:00",94804383
"2017-09-25 00:00:00",94819257
"2017-09-26 00:00:00",94834464
"2017-09-27 00:00:00",94849875
"2017-09-28 00:00:00",94864873
"2017-09-29 00:00:00",94879726
"2017-09-30 00:00:00",94894657
"2017-10-01 00:00:00",94909790
"2017-10-02 00:00:00",94924879
"2017-10-03 00:00:00",94940058
"2017-10-04 00:00:00",94955376
"2017-10-05 00:00:00",94970853
"2017-10-06 00:00:00",94985877
"2017-10-07 00:00:00",95000892
"2017-10-08 00:00:00",95016092
"2017-10-09 00:00:00",95031301
"2017-10-10 00:00:00",95046785
"2017-10-11 00:00:00",95062285
"2017-10-12 00:00:00",95077676
"2017-10-13 00:00:00",95093113
"2017-10-14 00:00:00",95108431
"2017-10-15 00:00:00",95124011
"2017-10-16 00:00:00",95140181
"2017-10-17 00:00:00",95160328
"2017-10-18 00:00:00",95180706
"2017-10-19 00:00:00",95201132
"2017-10-20 00:00:00",95221607
"2017-10-21 00:00:00",95241750
"2017-10-22 00:00:00",95262134
"2017-10-23 00:00:00",95282605
"2017-10-24 00:00:00",95303134
"2017-10-25 00:00:00",95323352
"2017-10-26 00:00:00",95343551
"2017-10-27 00:00:00",95364022
"2017-10-28 00:00:00",95384467
"2017-10-29 00:00:00",95404756
"2017-10-30 00:00:00",95424855
"2017-10-31 00:00:00",95445491
"2017-11-01 00:00:00",95465719
"2017-11-02 00:00:00",95486016
"2017-11-03 00:00:00",95506326
"2017-11-04 00:00:00",95526514
"2017-11-05 00:00:00",95547106
"2017-11-06 00:00:00",95567347
"2017-11-07 00:00:00",95587761
"2017-11-08 00:00:00",95608014
"2017-11-09 00:00:00",95628327
"2017-11-10 00:00:00",95648854
"2017-11-11 00:00:00",95669272
"2017-11-12 00:00:00",95689483
"2017-11-13 00:00:00",95709904
"2017-11-14 00:00:00",95729954
"2017-11-15 00:00:00",95750447
"2017-11-16 00:00:00",95770670
"2017-11-17 00:00:00",95791034
"2017-11-18 00:00:00",95811366
"2017-11-19 00:00:00",95831789
"2017-11-20 00:00:00",95852197
"2017-11-21 00:00:00",95872591
"2017-11-22 00:00:00",95893095
"2017-11-23 00:00:00",95913443
"2017-11-24 00:00:00",95933856
"2017-11-25 00:00:00",95954171
"2017-11-26 00:00:00",95974532
"2017-11-27 00:00:00",95994804
"2017-11-28 00:00:00",96015113
"2017-11-29 00:00:00",96035538
"2017-11-30 00:00:00",96055954
"2017-12-01 00:00:00",96076431
"2017-12-02 00:00:00",96096636
"2017-12-03 00:00:00",96116973
"2017-12-04 00:00:00",96137398
"2017-12-05 00:00:00",96158028
"2017-12-06 00:00:00",96178670
"2017-12-07 00:00:00",96199621
"2017-12-08 00:00:00",96220094
"2017-12-09 00:00:00",96240700
"2017-12-10 00:00:00",96261109
"2017-12-11 00:00:00",96281454
"2017-12-12 00:00:00",96302055
"2017-12-13 00:00:00",96322694
"2017-12-14 00:00:00",96343513
"2017-12-15 00:00:00",96364370
"2017-12-16 00:00:00",96384782
"2017-12-17 00:00:00",96405166
"2017-12-18 00:00:00",96425752
"2017-12-19 00:00:00",96446406
"2017-12-20 00:00:00",96467074
"2017-12-21 00:00:00",96487516
"2017-12-22 00:00:00",96508137
"2017-12-23 00:00:00",96528994
"2017-12-24 00:00:00",96549510
"2017-12-25 00:00:00",96569977
"2017-12-26 00:00:00",96590379
"2017-12-27 00:00:00",96610934
"2017-12-28 00:00:00",96631390
"2017-12-29 00:00:00",96651871
"2017-12-30 00:00:00",96672433
"2017-12-31 00:00:00",96692921
"2018-01-01 00:00:00",96713570
"2018-01-02 00:00:00",96734158
"2018-01-03 00:00:00",96754795
"2018-01-04 00:00:00",96775776
"2018-01-05 00:00:00",96796758
"2018-01-06 00:00:00",96817751
"2018-01-07 00:00:00",96838963
"2018-01-08 00:00:00",96859636
"2018-01-09 00:00:00",96880442
"2018-01-10 00:00:00",96901589
"2018-01-11 00:00:00",96922656
"2018-01-12 00:00:00",96943627
"2018-01-13 00:00:00",96964363
"2018-01-14 00:00:00",96985447
"2018-01-15 00:00:00",97005902
"2018-01-16 00:00:00",97026829
"2018-01-17 00:00:00",97047701
"2018-01-18 00:00:00",97068300
"2018-01-19 00:00:00",97088964
"2018-01-20 00:00:00",97109748
"2018-01-21 00:00:00",97130066
"2018-01-22 00:00:00",97150657
"2018-01-23 00:00:00",97171159
"2018-01-24 00:00:00",97191751
"2018-01-25 00:00:00",97212109
"2018-01-26 00:00:00",97232531
"2018-01-27 00:00:00",97252971
"2018-01-28 00:00:00",97273538
"2018-01-29 00:00:00",97294089
"2018-01-30 00:00:00",97314416
"2018-01-31 00:00:00",97334973
"2018-02-01 00:00:00",97355555
"2018-02-02 00:00:00",97376224
"2018-02-03 00:00:00",97396567
"2018-02-04 00:00:00",97416895
"2018-02-05 00:00:00",97437544
"2018-02-06 00:00:00",97457941
"2018-02-07 00:00:00",97478409
"2018-02-08 00:00:00",97498809
"2018-02-09 00:00:00",97518793
"2018-02-10 00:00:00",97539088
"2018-02-11 00:00:00",97558368
"2018-02-12 00:00:00",97578070
"2018-02-13 00:00:00",97597953
"2018-02-14 00:00:00",97617459
"2018-02-15 00:00:00",97637850
"2018-02-16 00:00:00",97658004
"2018-02-17 00:00:00",97678094
"2018-02-18 00:00:00",97698397
"2018-02-19 00:00:00",97718548
"2018-02-20 00:00:00",97738119
"2018-02-21 00:00:00",97758657
"2018-02-22 00:00:00",97778615
"2018-02-23 00:00:00",97799159
"2018-02-24 00:00:00",97819386
"2018-02-25 00:00:00",97839403
"2018-02-26 00:00:00",97859178
"2018-02-27 00:00:00",97878827
"2018-02-28 00:00:00",97898726
"2018-03-01 00:00:00",97918402
"2018-03-02 00:00:00",97938781
"2018-03-03 00:00:00",97958817
"2018-03-04 00:00:00",97978449
"2018-03-05 00:00:00",97998174
"2018-03-06 00:00:00",98018549
"2018-03-07 00:00:00",98038430
"2018-03-08 00:00:00",98058055
"2018-03-09 00:00:00",98078059
"2018-03-10 00:00:00",98098224
"2018-03-11 00:00:00",98118446
"2018-03-12 00:00:00",98138309
"2018-03-13 00:00:00",98157977
"2018-03-14 00:00:00",98178340
"2018-03-15 00:00:00",98197960
"2018-03-16 00:00:00",98218305
"2018-03-17 00:00:00",98238317
"2018-03-18 00:00:00",98258127
"2018-03-19 00:00:00",98277710
"2018-03-20 00:00:00",98297392
"2018-03-21 00:00:00",98317395
"2018-03-22 00:00:00",98337368
"2018-03-23 00:00:00",98357190
"2018-03-24 00:00:00",98377243
"2018-03-25 00:00:00",98396963
"2018-03-26 00:00:00",98417098
"2018-03-27 00:00:00",98437123
"2018-03-28 00:00:00",98457304
"2018-03-29 00:00:00",98477216
"2018-03-30 00:00:00",98497485
"2018-03-31 00:00:00",98517578
"2018-04-01 00:00:00",98537719
"2018-04-02 00:00:00",98557676
"2018-04-03 00:00:00",98577880
"2018-04-04 00:00:00",98598002
"2018-04-05 00:00:00",98618369
"2018-04-06 00:00:00",98638716
"2018-04-07 00:00:00",98658951
"2018-04-08 00:00:00",98679088
"2018-04-09 00:00:00",98698910
"2018-04-10 00:00:00",98719090
"2018-04-11 00:00:00",98738510
"2018-04-12 00:00:00",98758228
"2018-04-13 00:00:00",98778409
"2018-04-14 00:00:00",98798490